animal	bli_dpi	flux
13987	286	275000
14005	286	1380000
14007	286	889000
14121	286	397000
14123	286	332000
14125	289	305000
14126	289	525000
13970	290	558000
13974	290	470000
13975	290	662000
14075	290	415000
13960	291	814000
14060	291	574000
14061	291	349000
14063	291	1040000
14052	294	409000
14054	294	659000
14055	294	441000
13954	295	325000
13955	295	928000
13958	295	677000
13959	295	483000
14067	295	559000
14068	295	492000
14069	295	581000
14070	295	348000
14071	295	575000
14072	295	591000
13916	296	331000
13917	296	445000
14016	297	422000
14021	297	272000
14022	297	227000
14031	297	1140000
14035	297	371000
14036	297	504000
13935	298	571000
13936	298	438000
13937	298	473000
14076	298	818000
14077	298	621000
13859	299	507700
14046	299	556000
14049	299	452000
13850	300	195000
13851	300	525000
13865	300	348700
13866	300	165600
13867	300	344900
13946	300	771000
13947	300	495000
13949	300	720000
13982	300	877000
13983	300	670000
13984	300	630000
13985	300	432000
13986	300	326000
13987	300	382000
14005	300	1170000
14007	300	1240000
13970	304	364000
13974	304	504000
13975	304	756000
14075	304	555000
13960	305	837000
14060	305	225000
14061	305	583000
14063	305	568000
14121	307	451000
14123	307	387000
14052	308	252000
14054	308	492000
14055	308	259000
13954	309	411000
13955	309	1030000
13958	309	559000
13959	309	377000
14067	309	468000
14068	309	809000
14069	309	1160000
14070	309	383000
14071	309	419000
14072	309	587000
13916	310	416000
13917	310	605000
14125	310	470000
14126	310	598000
14016	311	474000
14021	311	390000
14022	311	298000
14031	311	409000
14035	311	403000
14036	311	220000
13935	312	664000
13936	312	690000
13937	312	719000
13859	313	333000
13850	314	528000
13851	314	255000
13865	314	511000
13866	314	298000
13867	314	341000
13946	314	398000
13947	314	1170000
13949	314	631000
13982	314	413000
13983	314	495000
13984	314	576000
13985	314	332000
13986	314	414000
13987	314	395000
14005	314	1440000
14007	314	422000
13970	318	447000
13974	318	181000
13975	318	359000
13960	319	936000
14076	319	1130000
14077	319	689000
14046	320	445000
14049	320	435000
13954	323	478000
13955	323	274000
13958	323	177000
13959	323	271000
13916	324	280000
13917	324	283000
14075	325	324000
13935	326	307000
13936	326	841000
13937	326	101000
14060	326	504000
14061	326	229444.44444444444
14063	326	452222.2222222222
13859	327	1000000
13850	328	553000
13851	328	295000
13865	328	415000
13866	328	353000
13867	328	408000
13946	328	651000
13947	328	629000
